"Ident_8","Kmp_Rsys",Rijstrook,"X_coord_EPSG_31370","Y_coord_EPSG_31370","beschrijvende_id","breedtegraad_EPSG_4326","lengtegraad_EPSG_4326","lve_nr","unieke_id","volledige_naam"
A0140002,"94.695",R10,"144477.0917","208290.6237",H291L10,"51.18458196","4.289767347","437.0",3640,"Parking Kruibeke"
A0140001,"94.692",R11,"144484.3047","208274.7673",H292L20,"51.1844395","4.289870748","437.0",3638,"Parking Kruibeke"
A0140001,"94.692",R12,"144484.3047","208274.7673",H292L30,"51.1844395","4.289870748","437.0",3639,"Parking Kruibeke"
N1770002,"10.268",R10,"150233.1199","200546.9427",H202L10,"51.11500275","4.372084942","168.0",2304,"Snede noordzijde sleuf Boom"
A0121311,None,R10,"150226.4523","200546.5205",H208L10,"51.11499895","4.371989722","168.0",2303,"Snede noordzijde sleuf Boom"
N1770001,"10.284",R11,"150196.3961","200582.3681",H201L20,"51.11532119","4.371560518","168.0",2302,"Snede noordzijde sleuf Boom"
N1770001,"10.284",R10,"150196.3961","200582.3681",H201L10,"51.11532119","4.371560518","168.0",2301,"Snede noordzijde sleuf Boom"
A0121361,"0.278",R10,"150204.2589","200580.6355",H205L10,"51.11530561","4.371672805","168.0",2300,"Snede noordzijde sleuf Boom"
A0140001,"96.711",R12,"146021.6375","209579.7963",H292L30,"51.19618225","4.311843693","492.0",3630,"Halve snede kmpt. 95.7"
A0140001,"96.172",R10,"145631.9975","209207.4661",H292L10,"51.19283278","4.306274056","491.0",3631,"Halve snede kmpt. 96.2"
A0140001,"96.172",R11,"145631.9975","209207.4661",H292L20,"51.19283278","4.306274056","491.0",3632,"Halve snede kmpt. 96.2"
A0140001,"96.172",R12,"145631.9975","209207.4661",H292L30,"51.19283278","4.306274056","491.0",3633,"Halve snede kmpt. 96.2"
A0140001,"95.691",R10,"145275.0775","208884.2887",H292L10,"51.18992513","4.3011726","490.0",3634,"Halve snede kmpt. 96.7"
A0030002,"12.106",R11,"163125.2435","173207.7787",H221L20,"50.8690987","4.555211104","243.0",2309,"Snede Everberg - Sterrebeek 1"
A0140001,"95.691",R11,"145275.0775","208884.2887",H292L20,"51.18992513","4.3011726","490.0",3635,"Halve snede kmpt. 96.7"
A0030002,"12.106",R10,"163125.2435","173207.7787",H221L10,"50.8690987","4.555211104","243.0",2308,"Snede Everberg - Sterrebeek 1"
A0140001,"95.691",R12,"145275.0775","208884.2887",H292L30,"51.18992513","4.3011726","490.0",3636,"Halve snede kmpt. 96.7"
A0140001,"94.692",R10,"144484.3047","208274.7673",H292L10,"51.1844395","4.289870748","437.0",3637,"Parking Kruibeke"
R0003201,"0.016",R11,"143602.2845","174162.1383",H205L10,"50.87779238","4.277848926","415.0",3650,"Knooppunt Groot-Bijgaarden Noord"
R0001851,"0.022",R10,"156745.4051","173051.1943",H208L10,"50.86780062","4.464575596","252.0",3651,"Knooppunt St-Stevens-Woluwe West"
A0125001,None,R10,"146328.3989","228462.7567",S291L10,"51.36590745","4.316042806","127.0",2320,"grens - Zandvliet - Antwerpsebaan"
A0125011,"0.136",R10,"146588.0267","228484.1877",H181L10,"51.36610164","4.319770325","127.0",2317,"grens - Zandvliet - Antwerpsebaan"
R0003201,"0.016",R10,"143602.2845","174162.1383",H207L20,"50.87779238","4.277848926","415.0",3649,"Knooppunt Groot-Bijgaarden Noord"
A0120001,"52.331",R11,"146663.6945","228429.4305",H192L20,"51.36560993","4.320857262","127.0",2316,"grens - Zandvliet - Antwerpsebaan"
A0120001,"52.331",R10,"146663.6945","228429.4305",H192L10,"51.36560993","4.320857262","127.0",2315,"grens - Zandvliet - Antwerpsebaan"
A0030001,"12.109",R12,"163124.6251","173188.6511",H222L30,"50.86892677","4.555201634","243.0",2314,"Snede Everberg - Sterrebeek 1"
A0030001,"12.109",R11,"163124.6251","173188.6511",H222L20,"50.86892677","4.555201634","243.0",2313,"Snede Everberg - Sterrebeek 1"
A0030001,"12.109",R10,"163124.6251","173188.6511",H222L10,"50.86892677","4.555201634","243.0",2312,"Snede Everberg - Sterrebeek 1"
